score 	 sentence_1 	 sentence_2
0.6 	 the act of devoting time and energy to something	the act of liberating someone or something. 
3.6 	 verify something by comparing to a standard	check or regulate (a scientific experiment) by conducting a parallel experiment or comparing with another standard. 
4.6 	 Part, cease, or break association with (something).	part; cease or break association with. 
4 	 put heels on a shoe	put a new heel on. 
0.8 	 the act of preserving or protecting something	the act of raising something. 
2.4 	 make images or sounds less sharp	make (images or sounds) sharp or sharper. 
4.4 	 Expel or eject saliva, sputum, or an object from the mouth.	expel or eject (saliva or phlegm or sputum) from the mouth. 
3.2 	 measure the depth of a body of water	measure the depth of (a body of water) with a sounding line. 
4.4 	 give a detailed account of	narrate or give a detailed account of. 
3 	 a recurrent artistic theme or pattern	a theme that is repeated or elaborated in a piece of music. 
0.8 	 the act of choosing or selecting	the act of looking or seeing or observing. 
4.8 	 have a strong desire to do something	have a strong desire or urge to do something. 
0.2 	 The activity of looking thoroughly in order to find something or someone.	the act of removing or getting rid of something. 
3.6 	 person who is a social companion	a friend who is frequently in the company of another. 
4.6 	 hold or place in equilibrium	hold or carry in equilibrium. 
0.4 	 the act of accusing someone or something for being at fault	the management of someone or something. 
3.8 	 work as a tinker (fix pots and pans)	work as a tinker or tinkerer. 
0.6 	 the act of allowing, bestowing something	the act of forming or establishing something. 
5 	 the termination, ending of a meeting	the termination of a meeting. 
4 	 scratch or scrape with claws or nails	attack as if with claws. 
3.8 	 a social occasion, often official or formal	a formal or official social gathering or ceremony. 
4.2 	 infer or believe to be the case	believe to be the case. 
4 	 move in such a way as to avoid	make a sudden movement in a new direction so as to avoid. 
0 	 The state of being absent.	the act of climbing something. 
4.4 	 remove by pinching or snipping	sever or remove by pinching or snipping. 
0 	 (Cause to) become a powder or as dust.	cause to become widely known. 
2 	 prepare, arrange; create or organize for a particular purpose	any area set aside for a particular purpose. 
0.2 	 the act of people having sex	the act of climbing something. 
0.2 	 to lecture formally to an audience	accuse formally of a crime. 
2.8 	 the act of creating an artistic work	the act of creating written works. 
0.6 	 the state of being in contact	the state of being excluded. 
3.8 	 collect discarded, refused or damaged material	collect discarded or refused material. 
4 	 an enterprise or company that publishes newsprint	a business firm that publishes newspapers. 
4 	 the act of providing incentive to someone	the act of motivating; providing incentive. 
2.2 	 the activity of examining or assessing something	the act of examining resemblances. 
3.8 	 Make marks in the surface of.	make small marks into the surface of. 
0 	 Make a copy with the intent to deceive.	take up with the tongue. 
0.4 	 the act of choosing or selecting	the act of clipping or snipping. 
1.2 	 spare in quality or quantity	be equal to in quality or ability. 
5 	 return to in thought or speech	return in thought or speech to something. 
0 	 The act of testing something.	the act of climbing something. 
4.4 	 manner of handling, managing someone or something	the management of someone or something. 
1 	 the act of selecting or picking something	the act of decreasing or reducing something. 
4.2 	 LAY OFF--put an end to a state or activity	put an end to a state or an activity. 
3.8 	 move the body backwards and down into a comfortable resting position	move or arrange oneself in a comfortable and cozy position. 
2.8 	 Shine intensely; emit a steady, even light from a source.	emit a steady even light without flames. 
0.2 	 The act of purchasing back something previously sold.	the act of starting something. 
0.2 	 reach or cause to reach the highest point, best something	an act (or failure to act) that disappoints someone. 
3.8 	 a type of military aircraft	a unit of military aircraft. 
0.2 	 the act of putting a preparation on something.	the state of taking in or encircling. 
3.8 	 a person who plants or detonates explosives	a person who plants bombs. 
4.2 	 make fit for a specific purpose	suit to a special purpose. 
3.8 	 strike with horror, surprise, disgust	strike with horror or terror. 
2.2 	 have the same value, be or become equivalent to something else	establish something as being earlier relative to something else. 
3.4 	 A state of confusion or disorder.	throw into great confusion or disorder. 
4 	 a public enclosure for animals, as dogs	a public enclosure for stray or unlicensed dogs. 
4.8 	 a system by which one currency is exchanged for another, enabling international transactions	the system by which one currency is exchanged for another; enables international transactions to take place. 
1.8 	 the natural progression or development of something	the natural process of laying down a deposit of something. 
0.8 	 the act of pulling an object	the act of choosing or selecting. 
4.4 	 A perceptual distinction based on color or shading.	the perceptual effect of the juxtaposition of very different colors. 
1.2 	 The act of purchasing back something previously sold.	the act of retaining something. 
1.2 	 Cook in cream or using cream.	add cream to one's coffee, for example. 
0.6 	 a negative or undesirable aspect of something	consider as part of something. 
4.6 	 gear or develop something to a particular purpose	suit to a special purpose. 
0.6 	 identify or pick out someone or something	the act of losing someone or something. 
0.2 	 a state of being encircled	the state of being depleted. 
4.4 	 read or conform to the metrical pattern of	conform to a metrical pattern. 
1.4 	 a major branch of a tree	a small thin branch of a tree. 
0.8 	 the act of lifting something	the act of starting something. 
4.8 	 (Cause to) become a fluid, as when heated.	make (a solid substance) liquid, as by heating. 
4.4 	 form schemes in an underhand manner	form intrigues (for) in an underhand manner. 
1 	 identify or pick out someone or something	the act of forcing out someone or something. 
3 	 the act of applying torture to the foot and leg	a form of foot torture in which the feet are encased in iron and slowly crushed. 
4 	 Move as if unable to control one's manner or direction of movement.	walk as if unable to control one's movements. 
3.8 	 arrangement for managing assets on behalf of a beneficiary	something (as property) held by one party (the trustee) for the benefit of another (the beneficiary). 
4 	 make fit for a specific purpose	provide with (something) usually for a specific purpose. 
